block_id,task_id_within_block,task_global_id,task_signature,A_wait,A_eff_coded,A_eff_display,A_se_coded,A_se_display,A_cash,A_origin_coded,A_origin_display,B_wait,B_eff_coded,B_eff_display,B_se_coded,B_se_display,B_cash,B_origin_coded,B_origin_display,C_label,prompt_text,n_respondents_total,n_heldout_respondents_receiving_task,expected_repeats,planned_api_calls,provenance_status,wording_status
2,5,11,"((1.0, 0.5, 1.0, 50.0, 0), (6.0, 0.95, 1.0, 200.0, 0), 'OPT_OUT')",1.0,0.5,50%,1.0,10%,50.0,0,Domestic,6.0,0.95,95%,1.0,10%,200.0,0,Domestic,Do not receive the vaccine,"You are evaluating vaccination choices for COVID-19 vaccines.

Please consider the following three alternatives and indicate which one you would choose:

Alternative A:
- Waiting time: 1 month
- Vaccine effectiveness: 50%
- Risk of side effects: 10%
- Cash incentive: 50 RMB
- Vaccine origin: Domestic

Alternative B:
- Waiting time: 6 months
- Vaccine effectiveness: 95%
- Risk of side effects: 10%
- Cash incentive: 200 RMB
- Vaccine origin: Domestic

Alternative C:
- Do not receive the vaccine

Question: Which alternative would you choose? Please respond with ONLY the letter (A, B, or C).

Additionally, if you were forced to assign probabilities to each alternative (summing to 1), what would they be?
Please provide P(A), P(B), P(C) as three numbers between 0 and 1 that sum to 1.",241,46,10,10,pending_provider_confirmation,provisional_from_Table_S3
2,6,12,"((6.0, 0.95, 2.0, 800.0, 1), (1.0, 0.5, 2.0, 50.0, 1), 'OPT_OUT')",6.0,0.95,95%,2.0,20%,800.0,1,Imported,1.0,0.5,50%,2.0,20%,50.0,1,Imported,Do not receive the vaccine,"You are evaluating vaccination choices for COVID-19 vaccines.

Please consider the following three alternatives and indicate which one you would choose:

Alternative A:
- Waiting time: 6 months
- Vaccine effectiveness: 95%
- Risk of side effects: 20%
- Cash incentive: 800 RMB
- Vaccine origin: Imported

Alternative B:
- Waiting time: 1 month
- Vaccine effectiveness: 50%
- Risk of side effects: 20%
- Cash incentive: 50 RMB
- Vaccine origin: Imported

Alternative C:
- Do not receive the vaccine

Question: Which alternative would you choose? Please respond with ONLY the letter (A, B, or C).

Additionally, if you were forced to assign probabilities to each alternative (summing to 1), what would they be?
Please provide P(A), P(B), P(C) as three numbers between 0 and 1 that sum to 1.",241,46,10,10,pending_provider_confirmation,provisional_from_Table_S3
3,1,13,"((1.0, 0.5, 2.0, 800.0, 1), (0.0, 0.7, 1.0, 50.0, 0), 'OPT_OUT')",1.0,0.5,50%,2.0,20%,800.0,1,Imported,0.0,0.7,70%,1.0,10%,50.0,0,Domestic,Do not receive the vaccine,"You are evaluating vaccination choices for COVID-19 vaccines.

Please consider the following three alternatives and indicate which one you would choose:

Alternative A:
- Waiting time: 1 month
- Vaccine effectiveness: 50%
- Risk of side effects: 20%
- Cash incentive: 800 RMB
- Vaccine origin: Imported

Alternative B:
- Waiting time: walk-in / 0 months
- Vaccine effectiveness: 70%
- Risk of side effects: 10%
- Cash incentive: 50 RMB
- Vaccine origin: Domestic

Alternative C:
- Do not receive the vaccine

Question: Which alternative would you choose? Please respond with ONLY the letter (A, B, or C).

Additionally, if you were forced to assign probabilities to each alternative (summing to 1), what would they be?
Please provide P(A), P(B), P(C) as three numbers between 0 and 1 that sum to 1.",222,38,10,10,pending_provider_confirmation,provisional_from_Table_S3
3,2,14,"((3.0, 0.5, 3.0, 800.0, 1), (6.0, 0.7, 1.0, 200.0, 0), 'OPT_OUT')",3.0,0.5,50%,3.0,30%,800.0,1,Imported,6.0,0.7,70%,1.0,10%,200.0,0,Domestic,Do not receive the vaccine,"You are evaluating vaccination choices for COVID-19 vaccines.

Please consider the following three alternatives and indicate which one you would choose:

Alternative A:
- Waiting time: 3 months
- Vaccine effectiveness: 50%
- Risk of side effects: 30%
- Cash incentive: 800 RMB
- Vaccine origin: Imported

Alternative B:
- Waiting time: 6 months
- Vaccine effectiveness: 70%
- Risk of side effects: 10%
- Cash incentive: 200 RMB
- Vaccine origin: Domestic

Alternative C:
- Do not receive the vaccine

Question: Which alternative would you choose? Please respond with ONLY the letter (A, B, or C).

Additionally, if you were forced to assign probabilities to each alternative (summing to 1), what would they be?
Please provide P(A), P(B), P(C) as three numbers between 0 and 1 that sum to 1.",222,38,10,10,pending_provider_confirmation,provisional_from_Table_S3
3,3,15,"((1.0, 0.95, 3.0, 200.0, 0), (1.0, 0.7, 1.0, 50.0, 1), 'OPT_OUT')",1.0,0.95,95%,3.0,30%,200.0,0,Domestic,1.0,0.7,70%,1.0,10%,50.0,1,Imported,Do not receive the vaccine,"You are evaluating vaccination choices for COVID-19 vaccines.

Please consider the following three alternatives and indicate which one you would choose:

Alternative A:
- Waiting time: 1 month
- Vaccine effectiveness: 95%
- Risk of side effects: 30%
- Cash incentive: 200 RMB
- Vaccine origin: Domestic

Alternative B:
- Waiting time: 1 month
- Vaccine effectiveness: 70%
- Risk of side effects: 10%
- Cash incentive: 50 RMB
- Vaccine origin: Imported

Alternative C:
- Do not receive the vaccine

Question: Which alternative would you choose? Please respond with ONLY the letter (A, B, or C).

Additionally, if you were forced to assign probabilities to each alternative (summing to 1), what would they be?
Please provide P(A), P(B), P(C) as three numbers between 0 and 1 that sum to 1.",222,38,10,10,pending_provider_confirmation,provisional_from_Table_S3
3,4,16,"((3.0, 0.95, 3.0, 800.0, 1), (0.0, 0.95, 2.0, 50.0, 0), 'OPT_OUT')",3.0,0.95,95%,3.0,30%,800.0,1,Imported,0.0,0.95,95%,2.0,20%,50.0,0,Domestic,Do not receive the vaccine,"You are evaluating vaccination choices for COVID-19 vaccines.

Please consider the following three alternatives and indicate which one you would choose:

Alternative A:
- Waiting time: 3 months
- Vaccine effectiveness: 95%
- Risk of side effects: 30%
- Cash incentive: 800 RMB
- Vaccine origin: Imported

Alternative B:
- Waiting time: walk-in / 0 months
- Vaccine effectiveness: 95%
- Risk of side effects: 20%
- Cash incentive: 50 RMB
- Vaccine origin: Domestic

Alternative C:
- Do not receive the vaccine

Question: Which alternative would you choose? Please respond with ONLY the letter (A, B, or C).

Additionally, if you were forced to assign probabilities to each alternative (summing to 1), what would they be?
Please provide P(A), P(B), P(C) as three numbers between 0 and 1 that sum to 1.",222,38,10,10,pending_provider_confirmation,provisional_from_Table_S3
3,5,17,"((0.0, 0.5, 3.0, 50.0, 0), (3.0, 0.7, 2.0, 200.0, 1), 'OPT_OUT')",0.0,0.5,50%,3.0,30%,50.0,0,Domestic,3.0,0.7,70%,2.0,20%,200.0,1,Imported,Do not receive the vaccine,"You are evaluating vaccination choices for COVID-19 vaccines.

Please consider the following three alternatives and indicate which one you would choose:

Alternative A:
- Waiting time: walk-in / 0 months
- Vaccine effectiveness: 50%
- Risk of side effects: 30%
- Cash incentive: 50 RMB
- Vaccine origin: Domestic

Alternative B:
- Waiting time: 3 months
- Vaccine effectiveness: 70%
- Risk of side effects: 20%
- Cash incentive: 200 RMB
- Vaccine origin: Imported

Alternative C:
- Do not receive the vaccine

Question: Which alternative would you choose? Please respond with ONLY the letter (A, B, or C).

Additionally, if you were forced to assign probabilities to each alternative (summing to 1), what would they be?
Please provide P(A), P(B), P(C) as three numbers between 0 and 1 that sum to 1.",222,38,10,10,pending_provider_confirmation,provisional_from_Table_S3
3,6,18,"((6.0, 0.95, 1.0, 800.0, 1), (6.0, 0.5, 2.0, 200.0, 0), 'OPT_OUT')",6.0,0.95,95%,1.0,10%,800.0,1,Imported,6.0,0.5,50%,2.0,20%,200.0,0,Domestic,Do not receive the vaccine,"You are evaluating vaccination choices for COVID-19 vaccines.

Please consider the following three alternatives and indicate which one you would choose:

Alternative A:
- Waiting time: 6 months
- Vaccine effectiveness: 95%
- Risk of side effects: 10%
- Cash incentive: 800 RMB
- Vaccine origin: Imported

Alternative B:
- Waiting time: 6 months
- Vaccine effectiveness: 50%
- Risk of side effects: 20%
- Cash incentive: 200 RMB
- Vaccine origin: Domestic

Alternative C:
- Do not receive the vaccine

Question: Which alternative would you choose? Please respond with ONLY the letter (A, B, or C).

Additionally, if you were forced to assign probabilities to each alternative (summing to 1), what would they be?
Please provide P(A), P(B), P(C) as three numbers between 0 and 1 that sum to 1.",222,38,10,10,pending_provider_confirmation,provisional_from_Table_S3
4,1,19,"((6.0, 0.95, 2.0, 50.0, 0), (1.0, 0.5, 2.0, 200.0, 0), 'OPT_OUT')",6.0,0.95,95%,2.0,20%,50.0,0,Domestic,1.0,0.5,50%,2.0,20%,200.0,0,Domestic,Do not receive the vaccine,"You are evaluating vaccination choices for COVID-19 vaccines.

Please consider the following three alternatives and indicate which one you would choose:

Alternative A:
- Waiting time: 6 months
- Vaccine effectiveness: 95%
- Risk of side effects: 20%
- Cash incentive: 50 RMB
- Vaccine origin: Domestic

Alternative B:
- Waiting time: 1 month
- Vaccine effectiveness: 50%
- Risk of side effects: 20%
- Cash incentive: 200 RMB
- Vaccine origin: Domestic

Alternative C:
- Do not receive the vaccine

Question: Which alternative would you choose? Please respond with ONLY the letter (A, B, or C).

Additionally, if you were forced to assign probabilities to each alternative (summing to 1), what would they be?
Please provide P(A), P(B), P(C) as three numbers between 0 and 1 that sum to 1.",95,21,10,10,pending_provider_confirmation,provisional_from_Table_S3
4,2,20,"((6.0, 0.7, 1.0, 50.0, 0), (0.0, 0.95, 2.0, 50.0, 1), 'OPT_OUT')",6.0,0.7,70%,1.0,10%,50.0,0,Domestic,0.0,0.95,95%,2.0,20%,50.0,1,Imported,Do not receive the vaccine,"You are evaluating vaccination choices for COVID-19 vaccines.

Please consider the following three alternatives and indicate which one you would choose:

Alternative A:
- Waiting time: 6 months
- Vaccine effectiveness: 70%
- Risk of side effects: 10%
- Cash incentive: 50 RMB
- Vaccine origin: Domestic

Alternative B:
- Waiting time: walk-in / 0 months
- Vaccine effectiveness: 95%
- Risk of side effects: 20%
- Cash incentive: 50 RMB
- Vaccine origin: Imported

Alternative C:
- Do not receive the vaccine

Question: Which alternative would you choose? Please respond with ONLY the letter (A, B, or C).

Additionally, if you were forced to assign probabilities to each alternative (summing to 1), what would they be?
Please provide P(A), P(B), P(C) as three numbers between 0 and 1 that sum to 1.",95,21,10,10,pending_provider_confirmation,provisional_from_Table_S3
4,3,21,"((1.0, 0.5, 2.0, 50.0, 0), (0.0, 0.5, 3.0, 50.0, 1), 'OPT_OUT')",1.0,0.5,50%,2.0,20%,50.0,0,Domestic,0.0,0.5,50%,3.0,30%,50.0,1,Imported,Do not receive the vaccine,"You are evaluating vaccination choices for COVID-19 vaccines.

Please consider the following three alternatives and indicate which one you would choose:

Alternative A:
- Waiting time: 1 month
- Vaccine effectiveness: 50%
- Risk of side effects: 20%
- Cash incentive: 50 RMB
- Vaccine origin: Domestic

Alternative B:
- Waiting time: walk-in / 0 months
- Vaccine effectiveness: 50%
- Risk of side effects: 30%
- Cash incentive: 50 RMB
- Vaccine origin: Imported

Alternative C:
- Do not receive the vaccine

Question: Which alternative would you choose? Please respond with ONLY the letter (A, B, or C).

Additionally, if you were forced to assign probabilities to each alternative (summing to 1), what would they be?
Please provide P(A), P(B), P(C) as three numbers between 0 and 1 that sum to 1.",95,21,10,10,pending_provider_confirmation,provisional_from_Table_S3
4,4,22,"((1.0, 0.5, 1.0, 50.0, 1), (0.0, 0.95, 1.0, 800.0, 0), 'OPT_OUT')",1.0,0.5,50%,1.0,10%,50.0,1,Imported,0.0,0.95,95%,1.0,10%,800.0,0,Domestic,Do not receive the vaccine,"You are evaluating vaccination choices for COVID-19 vaccines.

Please consider the following three alternatives and indicate which one you would choose:

Alternative A:
- Waiting time: 1 month
- Vaccine effectiveness: 50%
- Risk of side effects: 10%
- Cash incentive: 50 RMB
- Vaccine origin: Imported

Alternative B:
- Waiting time: walk-in / 0 months
- Vaccine effectiveness: 95%
- Risk of side effects: 10%
- Cash incentive: 800 RMB
- Vaccine origin: Domestic

Alternative C:
- Do not receive the vaccine

Question: Which alternative would you choose? Please respond with ONLY the letter (A, B, or C).

Additionally, if you were forced to assign probabilities to each alternative (summing to 1), what would they be?
Please provide P(A), P(B), P(C) as three numbers between 0 and 1 that sum to 1.",95,21,10,10,pending_provider_confirmation,provisional_from_Table_S3
4,5,23,"((0.0, 0.95, 2.0, 800.0, 0), (0.0, 0.7, 1.0, 800.0, 0), 'OPT_OUT')",0.0,0.95,95%,2.0,20%,800.0,0,Domestic,0.0,0.7,70%,1.0,10%,800.0,0,Domestic,Do not receive the vaccine,"You are evaluating vaccination choices for COVID-19 vaccines.

Please consider the following three alternatives and indicate which one you would choose:

Alternative A:
- Waiting time: walk-in / 0 months
- Vaccine effectiveness: 95%
- Risk of side effects: 20%
- Cash incentive: 800 RMB
- Vaccine origin: Domestic

Alternative B:
- Waiting time: walk-in / 0 months
- Vaccine effectiveness: 70%
- Risk of side effects: 10%
- Cash incentive: 800 RMB
- Vaccine origin: Domestic

Alternative C:
- Do not receive the vaccine

Question: Which alternative would you choose? Please respond with ONLY the letter (A, B, or C).

Additionally, if you were forced to assign probabilities to each alternative (summing to 1), what would they be?
Please provide P(A), P(B), P(C) as three numbers between 0 and 1 that sum to 1.",95,21,10,10,pending_provider_confirmation,provisional_from_Table_S3
4,6,24,"((1.0, 0.7, 2.0, 800.0, 1), (6.0, 0.7, 1.0, 800.0, 1), 'OPT_OUT')",1.0,0.7,70%,2.0,20%,800.0,1,Imported,6.0,0.7,70%,1.0,10%,800.0,1,Imported,Do not receive the vaccine,"You are evaluating vaccination choices for COVID-19 vaccines.

Please consider the following three alternatives and indicate which one you would choose:

Alternative A:
- Waiting time: 1 month
- Vaccine effectiveness: 70%
- Risk of side effects: 20%
- Cash incentive: 800 RMB
- Vaccine origin: Imported

Alternative B:
- Waiting time: 6 months
- Vaccine effectiveness: 70%
- Risk of side effects: 10%
- Cash incentive: 800 RMB
- Vaccine origin: Imported

Alternative C:
- Do not receive the vaccine

Question: Which alternative would you choose? Please respond with ONLY the letter (A, B, or C).

Additionally, if you were forced to assign probabilities to each alternative (summing to 1), what would they be?
Please provide P(A), P(B), P(C) as three numbers between 0 and 1 that sum to 1.",95,21,10,10,pending_provider_confirmation,provisional_from_Table_S3
5,1,25,"((3.0, 0.95, 3.0, 200.0, 1), (3.0, 0.5, 2.0, 200.0, 1), 'OPT_OUT')",3.0,0.95,95%,3.0,30%,200.0,1,Imported,3.0,0.5,50%,2.0,20%,200.0,1,Imported,Do not receive the vaccine,"You are evaluating vaccination choices for COVID-19 vaccines.

Please consider the following three alternatives and indicate which one you would choose:

Alternative A:
- Waiting time: 3 months
- Vaccine effectiveness: 95%
- Risk of side effects: 30%
- Cash incentive: 200 RMB
- Vaccine origin: Imported

Alternative B:
- Waiting time: 3 months
- Vaccine effectiveness: 50%
- Risk of side effects: 20%
- Cash incentive: 200 RMB
- Vaccine origin: Imported

Alternative C:
- Do not receive the vaccine

Question: Which alternative would you choose? Please respond with ONLY the letter (A, B, or C).

Additionally, if you were forced to assign probabilities to each alternative (summing to 1), what would they be?
Please provide P(A), P(B), P(C) as three numbers between 0 and 1 that sum to 1.",83,14,10,10,pending_provider_confirmation,provisional_from_Table_S3
5,2,26,"((3.0, 0.5, 3.0, 200.0, 1), (6.0, 0.7, 2.0, 200.0, 0), 'OPT_OUT')",3.0,0.5,50%,3.0,30%,200.0,1,Imported,6.0,0.7,70%,2.0,20%,200.0,0,Domestic,Do not receive the vaccine,"You are evaluating vaccination choices for COVID-19 vaccines.

Please consider the following three alternatives and indicate which one you would choose:

Alternative A:
- Waiting time: 3 months
- Vaccine effectiveness: 50%
- Risk of side effects: 30%
- Cash incentive: 200 RMB
- Vaccine origin: Imported

Alternative B:
- Waiting time: 6 months
- Vaccine effectiveness: 70%
- Risk of side effects: 20%
- Cash incentive: 200 RMB
- Vaccine origin: Domestic

Alternative C:
- Do not receive the vaccine

Question: Which alternative would you choose? Please respond with ONLY the letter (A, B, or C).

Additionally, if you were forced to assign probabilities to each alternative (summing to 1), what would they be?
Please provide P(A), P(B), P(C) as three numbers between 0 and 1 that sum to 1.",83,14,10,10,pending_provider_confirmation,provisional_from_Table_S3
5,3,27,"((3.0, 0.5, 3.0, 50.0, 0), (6.0, 0.95, 3.0, 200.0, 1), 'OPT_OUT')",3.0,0.5,50%,3.0,30%,50.0,0,Domestic,6.0,0.95,95%,3.0,30%,200.0,1,Imported,Do not receive the vaccine,"You are evaluating vaccination choices for COVID-19 vaccines.

Please consider the following three alternatives and indicate which one you would choose:

Alternative A:
- Waiting time: 3 months
- Vaccine effectiveness: 50%
- Risk of side effects: 30%
- Cash incentive: 50 RMB
- Vaccine origin: Domestic

Alternative B:
- Waiting time: 6 months
- Vaccine effectiveness: 95%
- Risk of side effects: 30%
- Cash incentive: 200 RMB
- Vaccine origin: Imported

Alternative C:
- Do not receive the vaccine

Question: Which alternative would you choose? Please respond with ONLY the letter (A, B, or C).

Additionally, if you were forced to assign probabilities to each alternative (summing to 1), what would they be?
Please provide P(A), P(B), P(C) as three numbers between 0 and 1 that sum to 1.",83,14,10,10,pending_provider_confirmation,provisional_from_Table_S3
